confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_pde,complex_ipde,filename,pdb_filepath,model,ipSAE_AB,pDockQ_AB,pDockQ2_AB,ipSAE_BA,pDockQ_BA,pDockQ2_BA,ipSAE_AB_max,pDockQ_AB_max,pDockQ2_AB_max
0.869432270526886,0.8913806676864624,0.874592125415802,0.9690552949905396,0.8832982778549194,0.8681422472000122,0.6455632448196411,1.8348358869552612,confidence_result_model_0.json,predictions/result/result_model_0.pdb,0,0.812837,0.5551,0.0616,0.820831,0.5551,0.0616,0.820831,0.5551,0.0616
0.8654260635375977,0.8838136792182922,0.8669586777687073,0.9685834050178528,0.8753697276115417,0.8650428652763367,0.6730122566223145,1.9446929693222046,confidence_result_model_1.json,predictions/result/result_model_1.pdb,1,0.778776,0.5442,0.1031,0.795363,0.5442,0.1037,0.795363,0.5442,0.1037
0.8631040453910828,0.863355278968811,0.8446529507637024,0.9708534479141235,0.8543879985809326,0.8677168488502502,0.7211485505104065,2.0462558269500732,confidence_result_model_2.json,predictions/result/result_model_2.pdb,2,0.755455,0.48,0.0819,0.76325,0.48,0.0819,0.76325,0.48,0.0819
0.8554216623306274,0.8669223785400391,0.8478797078132629,0.9734584093093872,0.8567565083503723,0.8573071360588074,0.7216860055923462,1.975476622581482,confidence_result_model_3.json,predictions/result/result_model_3.pdb,3,0.761726,0.4875,0.0863,0.773743,0.4875,0.0869,0.773743,0.4875,0.0869
0.8431685566902161,0.7905526757240295,0.7628780007362366,0.9633262157440186,0.7770366072654724,0.8632411360740662,0.9568367600440979,2.9965271949768066,confidence_result_model_4.json,predictions/result/result_model_4.pdb,4,0.875205,0.6169,0.0185,0.876426,0.6169,0.0185,0.876426,0.6169,0.0185
